x,y,z,vx,vy,vz,zv
-0.000103016928056221,6.12925339335704e-05,0.00416852653662753,-0.000662061742677769,0.000212626402549975,-0.0122268125673331,1
-0.000109753322829305,6.47344867355895e-05,0.00428607695648726,-0.000687807461119918,0.000308422730249494,-0.0122337947565131,1
-0.000116554695422927,6.89183815323946e-05,0.0044015498073679,-0.000701066448908026,0.000392007118500204,-0.0120939440978454,1
-0.000125173261519442,7.13002181207856e-05,0.00451928633934154,-0.000830006086173061,0.000297246031283473,-0.0122010560385463,1
-0.000133656312523971,7.49470698073676e-05,0.00463803876077425,-0.000864859180278245,0.000351410206831689,-0.0123072790107813,1
-0.000142955790265044,7.88942482361816e-05,0.00475309921226,-0.000932679728419114,0.000390510021020051,-0.0120908709023073,1
-0.000153361642548063,8.20569345585369e-05,0.00486967915618929,-0.00103163093096396,0.000350185747703088,-0.0121208238658104,1
-0.000167066024046377,8.88957610456163e-05,0.0049851470782716,-0.00129131124982856,0.000588046607770468,-0.0120549551353497,1
-0.000182953245016156,9.93083009420465e-05,0.00509876744392241,-0.00152962886577408,0.000914115498004847,-0.0119059295755551,1
-0.000197866056787392,0.000108671737144367,0.005214176516204,-0.00154448710584857,0.000953900674175353,-0.0119773808558844,1
-0.000206548227681523,0.000114279243627882,0.00533030976070971,-0.00112302598845589,0.000710389281391549,-0.0120513986456687,1
-0.000212489630023725,0.000112731941232838,0.00544863249030429,-0.00079113044748153,0.000137232624234763,-0.0122266235179672,1
-0.000218027086735907,0.000114377725437211,0.00556495534915643,-0.000649871016460117,0.000159638413463575,-0.0121496822075281,1
-0.000225640153063117,0.000112331164837253,0.00568064604369706,-0.000743607287258995,-8.54596483607297e-05,-0.0120800622048094,1
-0.000234221341794765,0.000114191646642522,0.00579619229605439,-0.000841962561083504,9.81108456137065e-05,-0.0120463430985517,1
-0.000244191151981712,0.000119705039695218,0.00591427728286434,-0.000970681110411073,0.000411006952140236,-0.0122086236790726,1
-0.000254188746393851,0.000126013608572168,0.00603019497596551,-0.00101663704092407,0.000572537661436155,-0.0121157956771692,1
-0.000261993439175741,0.000128829724406302,0.00615103199530817,-0.000882241651139912,0.000388743788046443,-0.0124208167148958,1
-0.000267887765936153,0.000131336503696335,0.00627100156384999,-0.00070546276109364,0.00030465808343299,-0.0124658380219136,1
-0.000276105628440421,0.00013239813552076,0.00638991972160959,-0.000804009746402885,0.000176949613944323,-0.0124092654738449,1
-0.000286176638921789,0.00013701262797149,0.00650759336732485,-0.000964592579453449,0.000376446578029844,-0.0123046992351747,1
-0.000296759186212068,0.000146402613952407,0.00662643818987021,-0.00105456637312976,0.000771627311294228,-0.0123490993102092,1
-0.000309236582852779,0.000160686536208762,0.00674082124399469,-0.00121507011905205,0.00124189314026539,-0.0120588402594529,1
-0.000320829925399737,0.000172192689280184,0.0068549122428455,-0.00120948453921995,0.00121269735887726,-0.0119394789541186,1
